test_id,course,store_type,query,expected_keywords,precision_at_3,latency_seconds,answer_relevance,faithfulness,answer_preview,precision_detail,relevance_reason,faithfulness_reason,errors
11,Cosc 423 (Artificial Intelligence),exams,Give me a past exam question on intelligent agents.,"agent, percept, environment, rational, action",1.0,8.764,5,5,"Intelligent agents are often studied in the field of artificial intelligence, specifically in the branch of computing known as agent-oriented computing, where the focus is on the construction of intelligent artifacts, or agents, that require intelligence to interact with their environment and make d",Chunk 1: ✅ [agent] src=COSC423 MID SEM 19_20 TYPE 3.pdf | Chunk 2: ✅ [agent] src=COSC423 MID SEM 19_20 TYPE 4.pdf | Chunk 3: ✅ [agent] src=COSC423 MID SEM 19_20 TYPE 4.pdf,"Intelligent agents, which are studied in the field of artificial intelligence under agent-oriented computing, are designed and implemented to exhibit intelligent behavior through computational models that can be tested and evaluated based on their capabilities and performance in making decisions based on sensory inputs and achieving goals. This research area aims to understand and replicate intelligent behavior through falsifiable hypotheses about agent design.","Intelligent agents are often studied in the field of artificial intelligence, specifically in the branch of agent-oriented computing, where the focus is on the construction of intelligent artifacts, or agents, that require intelligence to interact with their environment and make decisions based on sensory inputs and goals. This field involves the development of computational models that embody falsifiable hypotheses about intelligent behavior and explores the design space of intelligent systems through the study of agent design and implementation, as it aims to understand and replicate intelligent behavior through the evaluation of these artifacts through falsifiable hypotheses about their capabilities and performance, as outlined in the provided context.",
12,Cosc 423 (Artificial Intelligence),exams,What topics appeared in the COSC 423 exam?,"search, agent, AI, knowledge, expert",0.0,8.94,1,,"As a tutor for Cosc 423 (Artificial Intelligence) at Babcock University's School of Computing during the second semester of the 2024/2025 academic year, I would like to inform you that the final examination for this course is worth 3 credits and will cover both Artificial Intelligence and its applic",Chunk 1: ❌ [no match] src=AI 2024_2025(1).JPG | Chunk 2: ❌ [no match] src=COSC423 EXAM 19_20.pdf | Chunk 3: ❌ [no match] src=COSC423 EXAM 19_20.pdf,"The question asks about the topics covered in the COSC 423 exam, not about the specific questions asked in the exam. Therefore, the answer provided does not directly address the question and is completely irrelevant.",,Faithfulness: Faithfulness eval error: ValueError('Could not parse JSON from: The provided context indicates that the exam will cover both Artificial Intelligence and its applica')
13,Cosc 430 (Hands On Java),notes,What is the difference between an interface and an abstract class in Java?,"interface, abstract, implement, extend, method",1.0,6.203,5,5,"In Java, an interface is a collection of abstract methods and constant fields that a class implementing it must follow, while an abstract class is a base class with abstract methods that may also have non-abstract methods and instance variables. An interface outlines a contract that a class must ful","Chunk 1: ✅ [interface, abstract, implement, method] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [interface, abstract, implement, method] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [abstract, extend] src=JAVA SE8 Programming V1.pdf","An interface in Java is a collection of abstract methods and constant fields that a class implementing it must follow, while an abstract class is a base class with abstract methods and instance variables that can also be instantiated if not completely abstract. Interfaces are used to define abstract types and enforce behavioral constraints, while abstract classes can be instantiated if not completely abstract and can extend other classes. The main difference is that a class can implement multiple interfaces but only extend one abstract class.","An interface in Java is a collection of abstract methods and constant fields that a class implementing it must follow, while an abstract class is a base class that can have both abstract and non-abstract methods and instance variables. The main difference is that a class can implement multiple interfaces but can only extend one abstract class, and an interface cannot be instantiated, while an abstract class can be instantiated if it is not completely abstract. In Java, interfaces define abstract types, and abstract classes can be instantiated if they are not completely abstract. Both are used to enforce behavioral constraints on classes that implement them, with interfaces being similar to abstract classes containing only public abstract methods and outlining methods that must be implemented by a class, and classes implementing them must fulfill the entire contract.",
14,Cosc 430 (Hands On Java),notes,Explain exception handling in Java.,"try, catch, finally, throw, exception",1.0,6.502,5,5,"Exception handling in Java involves handling or declaring potential errors that may occur when using external resources through libraries by enclosing code in a try-catch block. If an exception is thrown within the try block, it is caught by a corresponding catch block that provides a way to handle ","Chunk 1: ✅ [exception] src=JAVA SE8 Programming V2.pdf | Chunk 2: ✅ [try, catch, throw, exception] src=JAVA SE8 Programming V2.pdf | Chunk 3: ✅ [try, catch, throw, exception] src=JAVA SE8 Programming V2.pdf","Exception handling in Java involves enclosing code that may raise exceptions in a try block and handling them in a catch block using specific exception types. IOException is an example of a specific type of exception that must be declared and caught for more targeted error handling. This allows for more specific error handling compared to declaring exceptions, which notifies the caller of potential errors.","The provided explanation accurately and comprehensively describes exception handling in Java, including the concepts of handling and declaring exceptions, the use of try-catch blocks, and the relationship between exceptions and the Throwable class hierarchy. It also mentions the need to handle or declare external resource errors and provides specific examples of exceptions and catch blocks. The context provided is fully reflected in the answer.",
15,Cosc 430 (Hands On Java),notes,What are Java collections and why are they useful?,"collection, list, map, set, iterator",1.0,5.75,5,5,"Java collections are objects that organize and manage a group of elements, providing standard data structures such as lists, stacks, and maps. They offer optimized functionality for commonly used data structures in Java applications. They are essential in Java programming as they allow for efficient","Chunk 1: ✅ [collection, list, map] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [collection] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [collection, list, map, set] src=JAVA SE8 Programming V1.pdf","Java collections are object-oriented data structures in Java that facilitate managing and manipulating a group of elements with optimized functionalities for commonly used data structures such as lists, stacks, and maps. They are crucial in Java programming as they offer standard interfaces like List, Set, and Map from the Collections API, providing efficient data management for Java applications due to their optimization for commonly used data structures. Primitive types cannot be directly added to collections, requiring wrapping in objects for implementation. This framework is essential in Java applications as it provides interfaces for working with collections, including List, Set, and Map, which are available in the Collections API.","Java collections are objects that manage a group of objects, providing standard data structures such as lists, stacks, and maps for efficient manipulation of multiple elements in Java applications. They are optimized for commonly used data structures and are essential in Java programming due to their implementation in the Collections API, which offers interfaces like List, Set, and Map with various concrete implementations available in Java SE 8. Primitive types cannot be directly added to collections and require wrapping in objects. The provided context fully supports this answer.",
16,Cosc 430 (Hands On Java),notes,Explain inheritance and polymorphism in Java.,"inheritance, polymorphism, extends, override, class",1.0,7.72,5,5,"Inheritance in Java refers to the mechanism by which a new class (subclass) acquires properties and behaviors from an existing class (superclass) to create a more specific or specialized version of it. It allows for code reusability and reduces redundancy by inheriting fields, methods, and construct","Chunk 1: ✅ [inheritance, class] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [inheritance, class] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [class] src=JAVA SE8 Programming V1.pdf","Inheritance in Java is the concept of a new class (subclass) acquiring properties and methods from an existing class (superclass) to create a more specific or specialized version of it, reducing redundancy. Java supports single inheritance where a class can inherit from only one parent class. Polymorphism enables objects of different classes with the same parent class to be treated as the same type, providing multiple implementations of the same method with distinct behaviors through method overriding and runtime binding based on object type, promoting code reusability and flexibility in object-oriented programming. Abstract classes cannot be instantiated but serve as a base for subclasses to implement their own versions of abstract methods.","The provided context accurately explains inheritance and single inheritance in Java, as the slide and code snippet demonstrate the concept of a subclass (Manager) inheriting from a superclass (Employee) and the diagram illustrates the inheritance relationship. Polymorphism is briefly mentioned as a feature that allows for method overriding and dynamic binding, but is not the main focus of the context.",
17,Itgy 307 (Linux Fundamentals),notes,What are the basic Linux file system commands?,"ls, cd, mkdir, rm, chmod",0.0,1.567,5,5,The basic Linux file system commands include:  - `cd` (change directory): used to navigate through the file system. - `ls` (list): used to display the contents of a directory. - `mkdir` (make directory): used to create a new directory. - `rm` (remove): used to delete files or directories. - `cp` (co,"Chunk 1: ❌ [no match] src=Linux_ Linux Command Line, Cover all essential Linux commands..pdf | Chunk 2: ❌ [no match] src=Module-6-Y-Managing Linux File System.pptx | Chunk 3: ❌ [no match] src=Module-4-Linux Installation-How to.pptx","The answer fully and clearly lists the basic Linux file system commands, providing a comprehensive overview of their functions.","All claims are directly from the context, specifically the list of commands and their descriptions.",
18,Itgy 307 (Linux Fundamentals),notes,How do you manage users and groups in Linux?,"useradd, groupadd, passwd, sudo, permissions",0.333,1.977,5,4,"In Linux, you can manage users and groups using either command-line or graphical tools. The command-line tools, such as `groupadd` and `useradd`, allow you to create and modify groups and users from the shell prompt. This is useful for automating tasks and managing large numbers of users and groups.",Chunk 1: ❌ [no match] src=Module-7-Working with Linux Users and Groups.pptx | Chunk 2: ✅ [groupadd] src=Module-7-Working with Linux Users and Groups.pptx | Chunk 3: ❌ [no match] src=Module-7-Working with Linux Users and Groups.pptx,"The answer fully addresses the question, covering both command-line and graphical tools for managing users and groups in Linux.","Most claims are supported by the context, with a minor addition of 'automating tasks and managing large numbers of users and groups' which is a reasonable inference.",
19,Itgy 307 (Linux Fundamentals),notes,What is the Linux file permission system?,"read, write, execute, chmod, owner",0.0,0.622,5,5,"The Linux file permission system is a mechanism that assigns specific permissions to each file or directory in the file system, determining who can read, write, or execute them. These permissions are represented by a three-digit code consisting of owner, group, and others permissions. The mode of th",Chunk 1: ❌ [no match] src=Module-8-Managing Ownership and Permissions.pptx | Chunk 2: ❌ [no match] src=Module 7-Working with Linux users and groups.pptx | Chunk 3: ❌ [no match] src=Module-7-Working with Linux Users and Groups.pptx,"The answer fully and clearly explains the Linux file permission system, including its purpose, representation, and usage.",All claims are directly from the context.,
20,Itgy 307 (Linux Fundamentals),notes,Explain the Linux process management commands.,"ps, kill, top, process, pid",0.0,0.929,5,4,"In Linux process management, some commonly used commands include:  - `ps` (process status) to display information about running processes. - `kill` to terminate a process by sending a signal. - `pkill` or `pgrep` to search for and manage processes based on their name or other attributes. - `killall`","Chunk 1: ❌ [no match] src=Linux_ Linux Command Line, Cover all essential Linux commands..pdf | Chunk 2: ❌ [no match] src=Module-1-Fundamental of Linux System Administration.pptx | Chunk 3: ❌ [no match] src=Module-4-Linux Installation-How to.pptx","The answer fully and clearly explains the Linux process management commands, covering all key points and providing a comprehensive overview.","Most claims are supported by the context, but the mention of 'cron' to schedule tasks is not directly related to process management, although it is a Linux command.",
21,Itgy 307 (Linux Fundamentals),exams,Give me a past exam question on Linux commands.,"command, linux, file, directory, permission",1.0,1.15,5,5,"Here's a past exam question on Linux commands:  **Question:** What is the Linux command to view the manual page for the 'cp' utility, and what is the command to display a list of all running processes on your system?  **Answer:** The command to view the manual page for the 'cp' utility is `man cp`. ","Chunk 1: ✅ [command, linux, file] src=ITGY 307 EXAM 21_22 (IT).pdf | Chunk 2: ✅ [command, linux, permission] src=BU-CSC 307 EXAM 25-26.pdf | Chunk 3: ✅ [linux, file] src=INSY307.pdf",The answer fully and clearly addresses the question by providing the exact Linux commands requested.,"The answer directly addresses the context by mentioning the 'cp' utility and the 'ps' command, both of which are relevant to the provided options.",
22,Itgy 307 (Linux Fundamentals),exams,What Linux topics appear in past exam questions?,"linux, command, file, user, process",1.0,1.209,5,4,"Based on the provided context, past exam questions for ITGY 307 (Linux Fundamentals) have covered various Linux topics, including:  - File system management (e.g., creating and managing directories, permissions, and file ownership) - User and group management (e.g., creating and managing user accoun",Chunk 1: ✅ [linux] src=INSY307 MID SEM 19_20.pdf | Chunk 2: ✅ [linux] src=ITGY 307 EXAM 21_22 (IT).pdf | Chunk 3: ✅ [linux] src=INSY307 EXAM 14_15 MARKING GUIDE.pdf,"The answer fully addresses the question by listing specific Linux topics covered in past exam questions, providing relevant examples and context.","Most claims are supported by the context, but the mention of 'Linux Fundamentals' is not directly stated in the context, which only mentions 'INTRODUCTION TO LINUX SYSTEMS ADMINISTRATION'.",
23,Seng 412 (Internet Technology Php),notes,What is PHP and what is it used for?,"PHP, server, web, script, dynamic",1.0,0.415,5,5,"PHP is a server-side scripting language that generates dynamic content for web applications. It is primarily used for tasks such as form submission, session management, database management, and user authentication, allowing developers to create interactive web pages and manage dynamic content. PHP c","Chunk 1: ✅ [PHP, server, web, script] src=INTRODUCTIONPHP.pptx | Chunk 2: ✅ [PHP, web, dynamic] src=INTRODUCTIONPHP.pptx | Chunk 3: ✅ [PHP, server, web, script, dynamic] src=INTRODUCTIONPHP.pptx",The answer fully and clearly explains what PHP is and its primary uses.,All claims are directly from the context.,
24,Seng 412 (Internet Technology Php),notes,Explain how HTTP works in web communication.,"HTTP, request, response, client, server",1.0,0.445,5,4,"HTTP (Hypertext Transfer Protocol) is a standard protocol for transferring web documents over the Internet. It works by allowing a client (such as a web browser) to send an HTTP request to a server, which then responds with the requested web page or data. This request-response process is typically i",Chunk 1: ✅ [HTTP] src=iw3htp4_02_browsers.pdf | Chunk 2: ✅ [HTTP] src=iw3htp4_02_browsers.pdf | Chunk 3: ✅ [HTTP] src=iw3htp4_02_browsers.pdf,The answer fully and clearly explains the HTTP request-response process in web communication.,"Most claims are supported, but the answer mentions 'click the Go or Enter button' which is not directly mentioned in the context.",
25,Seng 412 (Internet Technology Php),notes,How does PHP handle form data from HTML?,"POST, GET, form, input, superglobal",1.0,0.354,5,5,"In PHP, form data from HTML is handled through the use of the `$_POST` superglobal array. When a user submits a form, the data is sent to the server and stored in the `$_POST` array, which can then be accessed using the syntax `$_POST['field_name']`. This allows PHP to retrieve and process the form ","Chunk 1: ✅ [form] src=INTRODUCTIONPHP.pptx | Chunk 2: ✅ [form] src=INTRODUCTIONPHP.pptx | Chunk 3: ✅ [POST, GET, form] src=SUPERGLOBALSLECTURE8.pptx","The answer fully and clearly explains how PHP handles form data from HTML, including the use of the `$_POST` superglobal array and accessing the data using the syntax `$_POST['field_name']`.","All claims are directly from the context, including the syntax example, which is also mentioned in the context.",
26,Seng 412 (Internet Technology Php),notes,What is the difference between GET and POST in PHP?,"GET, POST, request, form, method",1.0,0.357,5,4,"In PHP, GET and POST are two methods used to send data from a web form to the server. The main difference between them is that GET sends data as part of the URL, whereas POST sends data in the request body. This means that GET is suitable for small amounts of data and is often used for search querie","Chunk 1: ✅ [request, form] src=INTRODUCTIONPHP.pptx | Chunk 2: ✅ [form] src=INTRODUCTIONPHP.pptx | Chunk 3: ✅ [form] src=INTRODUCTIONPHP.pptx","The answer clearly and concisely explains the difference between GET and POST in PHP, covering both the technical aspects and their typical use cases.","Most claims are supported by the context, but the mention of 'search queries' as a suitable use for GET is not directly mentioned in the context, although it is a reasonable inference.",
27,Seng 412 (Internet Technology Php),exams,Give me a past exam question on PHP basics.,"PHP, variable, function, array, output",1.0,3.841,5,5,"Here's a past exam question on PHP basics:  **Question 1:**  Create a PHP script that connects to a MySQL database and displays the details of a car with a particular color, price, and amount of gas. The script should also allow users to input their own car details and display the information in a t",Chunk 1: ✅ [PHP] src=SENG412- INSY402 EXAM 13_14.pdf | Chunk 2: ✅ [PHP] src=SENG412- INSY402 EXAM 18_19.pdf | Chunk 3: ✅ [PHP] src=SENG412- INSY402 EXAM 18_19.pdf,"The answer fully addresses the question by providing a clear and detailed exam question on PHP basics, including requirements and submission guidelines.","The answer is a direct response to the context, including the requirements and submission details.",
